Designator,Mid X,Mid Y,Rotation,Layer
BT1,140.315633,-79.760111,180.0,top
BT2,148.815633,-79.68,180.0,bottom
BT3,157.665633,-110.880111,90.0,top
C1,140.080633,-98.340111,180.0,top
C10,145.815633,-106.165111,270.0,top
C11,152.335633,-106.175111,270.0,top
C12,157.420633,-94.060111,0.0,top
C13,145.255633,-89.425111,90.0,top
C14,140.110633,-101.570111,180.0,top
C15,144.135633,-106.175111,270.0,top
C16,157.265633,-90.840111,0.0,top
C17,139.915633,-103.410111,180.0,top
C18,187.435633,-109.110111,0.0,top
C19,103.415633,-78.745111,270.0,top
C2,132.232746,-84.770111,180.0,top
C20,163.435633,-87.975111,270.0,top
C21,106.885633,-83.280111,270.0,top
C22,108.175633,-71.430111,90.0,top
C23,117.465633,-75.485111,270.0,top
C24,169.525633,-87.965111,270.0,top
C25,160.115633,-99.740111,180.0,top
C26,181.885633,-108.590111,0.0,top
C27,159.920633,-97.890111,180.0,top
C28,181.720633,-110.430111,0.0,top
C29,110.035633,-74.605111,90.0,top
C3,130.890633,-94.650111,180.0,top
C30,190.540633,-115.530111,0.0,top
C31,125.920633,-102.470111,0.0,top
C32,131.995633,-78.995111,270.0,top
C33,125.920633,-100.770111,0.0,top
C34,190.540633,-117.130111,0.0,top
C35,160.115633,-101.870111,180.0,top
C36,159.900633,-103.690111,0.0,top
C37,129.195633,-79.025111,270.0,top
C38,126.070633,-83.210111,0.0,top
C39,126.375633,-79.045111,270.0,top
C4,130.880633,-98.440111,180.0,top
C40,126.070633,-81.590111,0.0,top
C41,155.615633,-122.015111,270.0,top
C42,150.385633,-122.675111,270.0,top
C43,140.735633,-108.455111,270.0,top
C44,137.215633,-108.340111,90.0,top
C5,132.207746,-86.670111,180.0,top
C6,110.345633,-110.090111,180.0,top
C7,114.900633,-113.200111,180.0,top
C8,123.050633,-108.190111,0.0,top
C9,122.845633,-124.220111,180.0,top
D1,187.440633,-85.000111,0.0,top
D10,122.375633,-85.495111,270.0,top
D11,160.415633,-116.182611,270.0,top
D12,150.375633,-125.737611,270.0,top
D2,185.723133,-89.950111,180.0,top
D3,115.010633,-116.120111,180.0,top
D4,128.555633,-118.055111,270.0,top
D5,103.203133,-87.510111,180.0,top
D6,103.203133,-89.130111,180.0,top
D7,155.125633,-116.960111,90.0,top
D8,190.750633,-119.920111,0.0,top
D9,103.223133,-90.750111,0.0,top
H2,102.355633,-124.160111,180.0,top
J1,194.825633,-82.075111,90.0,top
J2,110.305633,-97.670111,270.0,top
J3,192.975633,-92.310111,0.0,top
J4,194.905633,-112.685111,90.0,top
J5,156.420633,-71.250111,0.0,top
J6,141.130633,-71.230111,0.0,top
J7,140.260633,-120.990111,0.0,top
J8_2,159.005633,-79.120111,90.0,top
J8,179.4,-79.11,270.0,top
L1,122.475633,-118.670111,90.0,top
L2,140.103133,-99.930111,0.0,top
L3,117.265633,-95.360111,90.0,top
Q1,112.170633,-121.955111,180.0,top
Q2,185.298133,-97.440111,0.0,top
R1,139.085633,-108.377611,90.0,top
R10,121.390633,-103.180111,180.0,top
R11,121.390633,-104.750111,0.0,top
R12,158.755633,-122.015111,90.0,top
R13,103.435633,-82.315111,270.0,top
R14,101.775633,-78.745111,270.0,top
R15,106.395633,-75.030111,90.0,top
R16,101.785633,-82.305111,270.0,top
R17,187.430633,-110.680111,180.0,top
R18,106.460633,-89.130111,180.0,top
R19,106.440633,-87.490111,0.0,top
R2,185.730633,-91.610111,180.0,top
R20,185.730633,-94.810111,180.0,top
R21,185.725633,-93.190111,0.0,top
R22,119.095633,-75.485111,90.0,top
R23,157.185633,-116.175111,90.0,top
R24,187.273133,-112.250111,180.0,top
R25,187.263133,-113.810111,180.0,top
R26,122.720633,-100.770111,180.0,top
R27,106.450633,-90.720111,180.0,top
R28,158.765633,-116.180111,270.0,top
R29,125.285633,-88.265111,270.0,top
R3,123.050633,-109.830111,0.0,top
R30,126.110633,-90.810111,0.0,top
R31,145.395633,-76.295111,90.0,top
R32,148.615633,-76.305111,90.0,top
R33,146.975633,-76.295111,90.0,top
R34,120.715633,-75.495111,270.0,top
R35,122.355633,-75.505111,90.0,top
R36,151.995633,-125.735111,270.0,top
R37,129.855633,-112.955111,90.0,top
R38,127.235633,-112.965111,90.0,top
R39,129.675633,-124.595111,90.0,top
R4,112.495633,-105.155111,90.0,top
R40,126.955633,-124.625111,90.0,top
R5,185.915633,-78.832611,270.0,top
R6,123.050633,-106.520111,180.0,top
R7,123.050633,-111.440111,0.0,top
R8,109.860633,-117.450111,0.0,top
R9,160.445633,-122.005111,90.0,top
SW1,131.145633,-106.640111,180.0,top
U1,187.038133,-82.450111,180.0,top
U10,129.695633,-72.920111,90.0,top
U11,124.489633,-95.848111,90.0,top
U12,153.060633,-121.565111,90.0,top
U2,117.110633,-109.375111,180.0,top
U3,148.835633,-97.670111,0.0,top
U4,106.888133,-79.280111,90.0,top
U5,166.468133,-88.150111,0.0,top
U6,179.060633,-123.940111,90.0,top
U7,113.880633,-74.100111,0.0,top
U8,172.015633,-98.190111,0.0,top
U9,185.220633,-119.975111,0.0,top
Y1,134.705633,-86.630111,90.0,top
Y2,134.865633,-94.640111,270.0,top
